Anemo_meter,Avg,SD,Min,Max,Vpp
1.4310526,3.413789,80.4855,-106.3337,109.4847,215.8184
1.571515,-924.2661,141.218,-174.782,177.5734,352.3554
1.607631579,2.051696,138.636,-172.2902,172.9646,345.2548
1.635625,1.994769,76.7583,-106.2082,106.3758,212.584
1.883448276,-188.2252,181.881,-199.8157,201.4102,401.2259
2.10772727,-11.58072,233.261,-255.3542,243.5834,498.9376
2.1954839,6.986113,226.448,-251.1652,261.7122,512.8774
2.3028,-1.677817,239.956,-263.0491,252.5362,515.5853
2.4392593,4.21865,29.6268,-47.51211,52.14738,99.65949
2.452857,-2.048745,45.4702,-53.17957,52.7405,105.92007
2.45681818,2.340241,152.556,-244.8418,261.6579,506.4997
2.47117647,924.7807,31.4937,-50.02643,48.44711,98.47354
2.684,-4.480187,28.574,-55.13103,40.50509,95.63612
2.6870833,-8.942954,76.6952,-328.292,210.568,538.86
2.724,-3.197979,28.3861,-51.69098,47.02409,98.71507
2.7417241,8.477884,48.4366,-121.7297,207.826,329.5557
2.8769565,-634.9321,76.0883,-329.8151,220.7464,550.5615
2.9003704,18.4555,56.071,-122.2421,142.159,264.4011
3.214783,2.420623,171.358,-239.031,301.4687,540.4997
3.4424,-11.72431,154.105,-229.9664,226.5557,456.5221
3.718571,-37.51071,97.8929,-158.9472,205.2165,364.1637
3.82884615,-9.434296,75.9385,-157.725,171.8431,329.5681
4.099583333,9.27322,48.9991,-171.9683,167.2592,339.2275
4.10217391,6.207931,27.1453,-75.84168,100.6149,176.45658
4.1108333,9.27322,48.9991,-171.9683,167.2592,339.2275
4.1479167,6.207931,27.1453,-75.84168,100.6149,176.45658
4.35038462,-11.14683,-11.14683,-293.0654,296.9258,589.9912
4.58308,27.77573,327.495,-501.746,493.3452,995.0912
4.7288,46.93287,195.183,-313.9311,353.6914,667.6225
4.78,46.93287,195.183,-312.9311,353.6914,666.6225
4.8576,-990.5662,312.585,-431.6243,438.6996,870.3239
5.1057143,26.92537,358.74,-499.1679,514.4344,1013.6023
5.13148,-4.125151,401.325,-497.5336,500.29,997.8236
5.3814815,-30.92796,307.058,537.1536,518.645,-18.5086
5.4248148,8.105763,433.475,-613.0669,542.9847,1156.0516
5.444643,-21.32115,311.367,-555.9505,502.2486,1058.1991
5.47789,3.555402,409.176,-534.8348,511.4847,1046.3195
5.631852,90.46379,327.922,-494.9674,469.5799,964.5473
