temperature_probe,temperature_sensor
38.72,39.9
38.12,38.65
37.415,37.4
36.54,36.8
35.685,36.2
34.775,35.65
33.935,35.1
33.175,34.35
32.63,33.6
32.225,33.6
31.975,33.6
31.77,33.2
31.59,33.02043478
31.485,32.84086957
31.355,32.66130435
31.19,32.48173913
31.065,32.30217391
30.99,32.1226087
30.855,31.94304348
30.79,31.76347826
30.715,31.58391304
30.675,31.40434783
30.625,31.22478261
30.56,31.04521739
30.51,30.86565217
30.465,30.68608696
30.44,30.50652174
30.38,30.32695652
30.35,30.1473913
30.13,29.96782609
29.71,29.78826087
29.035,29.60869565
28.245,29.42913043
27.35,29.24956522
26.375,29.07
25.48,26.93
24.605,26.33
23.795,25.6
23.265,25
22.915,24.3
22.595,24.2
22.305,23.7
22.095,23.4
21.91,23.2
21.75,22.9
19.65,20.2
19.72,20.2
19.75,20.2
9.935,10.5
9.92,10.5
9.955,10.53
